timestamp,open,high,low,close,volume
2018-02-02,1409.18,1498.0,1385.14,1429.95,36314815
2018-02-09,1402.62,1460.99,1265.93,1339.6,50493569
2018-02-16,1364.67,1468.94,1344.01,1448.69,28431302
2018-02-23,1446.49,1503.49,1446.49,1500.0,21664631
2018-03-02,1509.2,1528.7,1455.01,1500.25,27466805
2018-03-09,1494.24,1578.94,1481.0,1578.89,21899362
2018-03-16,1592.6,1617.54,1567.5,1571.68,24879145
2018-03-23,1554.53,1590.0,1495.36,1495.56,29572662
2018-03-29,1530.0,1575.97,1365.2,1447.34,38627335
2018-04-06,1417.62,1459.56,1352.88,1405.23,39972840
2018-04-13,1425.03,1459.78,1402.57,1430.79,18891177
2018-04-20,1445.0,1568.52,1427.48,1527.49,25215886
2018-04-27,1546.69,1638.1,1415.02,1572.62,40401755
2018-05-04,1582.5,1596.0,1546.02,1580.95,22091913
2018-05-11,1589.34,1615.6,1582.51,1602.91,15588456
2018-05-18,1604.0,1611.18,1565.22,1574.37,14947710
2018-05-25,1585.0,1614.12,1566.34,1610.15,14531141
2018-06-01,1600.71,1646.73,1600.15,1641.54,13233549
2018-06-08,1648.9,1714.5,1645.49,1683.99,20163924
2018-06-15,1681.51,1724.8,1680.59,1715.97,15874289
2018-06-22,1706.26,1763.1,1700.39,1715.67,20746722
2018-06-29,1702.51,1723.41,1646.31,1699.8,25843190
2018-07-06,1682.7,1725.0,1678.06,1710.63,10996344
2018-07-13,1724.05,1815.3,1716.23,1813.03,18144097
2018-07-20,1821.95,1858.88,1797.38,1813.7,24579497
2018-07-27,1812.21,1880.05,1769.99,1817.27,31608848
2018-08-03,1827.33,1841.0,1739.32,1823.29,24269298
2018-08-10,1825.81,1914.57,1818.92,1886.3,19232616
2018-08-17,1898.5,1925.0,1855.55,1882.22,25279670
2018-08-24,1890.57,1919.5,1866.06,1905.39,15411966
2018-08-31,1915.0,2025.57,1909.28,2012.71,24683160
2018-09-07,2026.5,2050.5,1935.21,1952.07,26322992
2018-09-14,1971.0,2008.76,1917.0,1970.19,21256029
2018-09-21,1954.73,1958.2,1887.41,1915.01,25386552
2018-09-28,1903.79,2026.52,1865.0,2003.0,21480120
2018-10-05,2021.99,2033.19,1862.83,1889.65,28201465
2018-10-12,1874.0,1902.0,1685.1,1788.61,46535379
2018-10-19,1795.0,1845.0,1734.23,1764.03,29373498
2018-10-26,1784.0,1809.5,1603.0,1642.81,43401836
2018-11-02,1660.0,1697.44,1476.36,1665.53,50807461
2018-11-09,1657.57,1784.0,1596.36,1712.43,30511366
2018-11-16,1698.24,1708.55,1546.51,1593.41,33719824
2018-11-23,1577.01,1581.19,1420.0,1502.06,27093246
2018-11-30,1539.0,1696.0,1524.22,1690.17,32874685
2018-12-07,1769.46,1778.34,1609.85,1629.13,31922141
2018-12-14,1623.84,1704.99,1585.0,1591.91,31975796
2018-12-21,1566.0,1584.53,1363.96,1377.45,47777079
2018-12-28,1346.0,1513.47,1307.0,1478.02,36182781
2019-01-04,1510.8,1594.0,1460.93,1575.39,31095757
2019-01-11,1602.31,1676.61,1589.19,1640.56,34417357
2019-01-18,1615.0,1716.2,1595.15,1696.2,28600640
2019-01-25,1681.0,1683.48,1610.2,1670.57,20691630
2019-02-01,1643.59,1736.41,1590.72,1626.23,37670866
2019-02-08,1623.0,1672.26,1566.76,1588.22,23606221
2019-02-15,1600.98,1656.38,1586.0,1607.95,20200670
2019-02-22,1601.0,1634.94,1600.56,1631.56,13598828
2019-03-01,1641.45,1674.26,1615.1,1671.73,16999869
2019-03-08,1685.0,1709.43,1586.57,1620.8,23468912
2019-03-15,1626.12,1718.8,1626.01,1712.36,21540379
2019-03-22,1712.7,1823.75,1712.63,1764.77,30189632
2019-03-29,1757.79,1805.77,1745.68,1780.75,20658235
2019-04-05,1800.11,1838.58,1798.73,1837.28,18931800
2019-04-12,1833.23,1853.09,1825.11,1843.06,16200437
2019-04-18,1842.0,1876.47,1818.9,1861.69,12412440
2019-04-26,1855.4,1951.0,1845.64,1950.63,26221693
2019-05-03,1949.0,1964.4,1881.87,1962.46,20988705
2019-05-10,1917.98,1959.0,1856.0,1889.98,26424800
2019-05-17,1836.56,1917.51,1815.75,1869.0,24549599
2019-05-24,1852.69,1879.0,1804.2,1823.28,18533859
2019-05-31,1832.75,1849.27,1772.7,1775.07,15244659
2019-06-07,1760.01,1806.25,1672.0,1804.03,27515129
2019-06-14,1822.0,1893.7,1818.0,1869.67,17739009
2019-06-21,1876.5,1935.2,1875.45,1911.3,16576146
2019-06-28,1912.66,1916.86,1872.42,1893.63,12916305
2019-07-05,1922.98,1945.9,1906.63,1942.91,10173299
2019-07-12,1934.12,2035.8,1928.25,2011.0,18988034
2019-07-19,2021.4,2026.32,1951.55,1964.52,14848214
2019-07-26,1971.14,2001.3,1924.51,1943.05,17306428
2019-08-02,1930.0,1932.23,1808.02,1823.24,21544341
2019-08-09,1770.22,1834.26,1748.78,1807.58,22236366
2019-08-16,1795.99,1831.74,1757.22,1792.57,18738356
2019-08-23,1818.08,1829.58,1745.23,1749.62,14728655
2019-08-30,1766.91,1799.74,1743.51,1776.29,14605849
2019-09-06,1770.0,1842.0,1768.0,1833.51,11695209
2019-09-13,1841.0,1853.66,1805.34,1839.34,12840983
2019-09-20,1824.02,1832.57,1780.92,1794.16,15878717
2019-09-27,1777.0,1795.71,1713.82,1725.45,18828122
2019-10-04,1726.99,1755.6,1685.06,1739.65,15383352
2019-10-11,1731.63,1747.83,1705.0,1731.92,12904838
2019-10-18,1728.91,1798.85,1722.0,1757.51,13765365
2019-10-25,1769.66,1789.78,1695.0,1761.33,21385988
2019-11-01,1748.06,1797.45,1742.5,1791.44,13932587
2019-11-08,1801.01,1815.06,1774.04,1785.88,11464532
2019-11-15,1778.0,1786.22,1732.86,1739.49,13114185
2019-11-22,1738.3,1762.52,1722.71,1745.72,13052220
2019-11-29,1753.25,1824.69,1753.24,1800.8,11639181
2019-12-06,1804.4,1805.55,1740.0,1751.6,16089863
2019-12-13,1750.66,1768.99,1735.0,1760.94,12971309
2019-12-20,1767.0,1802.97,1757.05,1786.5,18040959
2019-12-27,1788.26,1901.4,1784.51,1869.8,15232192
2020-01-03,1874.0,1898.01,1832.23,1874.97,13990200
2020-01-10,1860.0,1917.82,1860.0,1883.16,17743595
2020-01-17,1891.31,1898.0,1855.09,1864.72,15753709
2020-01-24,1865.0,1902.5,1847.44,1861.64,13110822
2020-01-31,1820.0,2055.72,1815.34,2008.72,30332660
