timestamp,open,high,low,close,volume
2018-02-02,170.16,170.16,160.1,160.5,248091289
2018-02-09,159.1,163.88,150.24,156.41,299885932
2018-02-16,158.5,174.82,157.51,172.43,222582467
2018-02-23,172.05,175.65,171.01,175.5,133197874
2018-03-02,176.35,180.62,172.45,176.21,196432091
2018-03-09,175.21,180.0,174.27,179.98,138442235
2018-03-16,180.29,183.5,177.62,178.02,151720299
2018-03-23,177.32,177.47,164.94,164.94,168666122
2018-03-29,168.07,175.15,165.19,167.78,155302506
2018-04-06,166.64,174.23,164.47,168.38,164408813
2018-04-13,169.88,175.84,169.85,174.73,128077139
2018-04-20,175.03,178.94,165.43,165.72,169238340
2018-04-27,166.83,166.92,160.63,162.32,162208431
2018-05-04,162.13,184.25,161.84,183.83,252805668
2018-05-11,185.18,190.37,183.67,188.59,148266951
2018-05-18,189.01,189.53,185.1,186.31,99248752
2018-05-25,188.0,189.65,185.76,188.58,94394844
2018-06-01,187.6,190.26,186.14,190.24,92129925
2018-06-08,191.64,194.2,189.77,191.7,116769735
2018-06-15,191.35,192.88,188.26,188.84,140187228
2018-06-22,187.88,189.22,183.45,184.92,125604366
2018-06-29,183.4,187.28,180.73,185.11,121620526
2018-07-06,183.82,188.43,183.42,187.97,65775642
2018-07-13,189.5,191.84,187.61,191.33,85088176
2018-07-20,191.52,192.65,189.2,191.44,87963808
2018-07-27,190.68,195.96,189.56,190.98,94613682
2018-08-03,191.9,208.74,189.07,207.99,224189697
2018-08-10,208.0,209.78,204.52,207.53,121642089
2018-08-17,207.7,217.95,207.7,217.58,139373818
2018-08-24,218.1,219.18,213.84,216.16,112825161
2018-08-31,217.15,228.87,216.33,227.63,162690645
2018-09-07,228.41,229.67,220.71,221.3,132632878
2018-09-14,220.95,228.35,216.47,223.84,198249908
2018-09-21,222.15,222.95,215.3,217.66,218746220
2018-09-28,216.82,226.44,216.63,225.74,129343034
2018-10-05,227.95,233.47,220.58,224.29,142666234
2018-10-12,222.21,227.27,212.32,222.11,192007749
2018-10-19,221.16,222.99,213.0,219.31,148520408
2018-10-26,219.79,224.23,212.67,216.3,185599234
2018-11-02,219.19,222.36,205.43,207.48,270606277
2018-11-09,204.3,210.12,198.17,204.47,191199370
2018-11-16,199.0,199.85,185.93,193.53,242226465
2018-11-23,190.0,190.7,172.1,172.29,164494301
2018-11-30,174.24,182.8,170.26,178.58,213749977
2018-12-07,184.46,184.94,168.3,168.49,167522325
2018-12-14,165.0,172.57,163.33,165.48,217536870
2018-12-21,165.45,168.35,149.63,150.73,287694081
2018-12-28,148.15,158.52,146.59,156.23,191160265
2019-01-04,158.53,159.36,142.0,148.26,221962468
2019-01-11,148.7,154.53,145.9,152.29,203706070
2019-01-18,150.85,157.88,149.22,156.82,155291399
2019-01-25,156.41,158.13,151.7,157.76,112513982
2019-02-01,155.79,169.0,153.66,166.52,202296864
2019-02-08,167.41,175.57,167.28,170.41,151398457
2019-02-15,171.05,172.48,169.25,170.42,112229742
2019-02-22,169.71,173.32,169.49,172.97,81250012
2019-03-01,174.16,175.87,172.73,174.97,120880541
2019-03-08,175.69,177.75,169.5,172.91,116779738
2019-03-15,175.49,187.33,175.35,186.12,158133562
2019-03-22,185.8,197.69,184.73,191.05,182343335
2019-03-29,191.51,192.88,184.58,189.95,167838582
2019-04-05,191.64,197.1,188.38,197.0,111540445
2019-04-12,196.42,202.85,196.21,198.87,132006698
2019-04-18,198.58,204.15,198.01,203.86,96335577
2019-04-26,202.83,208.48,202.12,204.3,97495453
2019-05-03,204.4,215.31,199.11,211.75,186455669
2019-05-10,204.29,208.84,192.77,197.18,173663634
2019-05-17,187.71,192.47,182.85,189.0,186415472
2019-05-24,183.52,188.0,177.81,178.97,156970116
2019-05-31,178.92,180.59,174.99,175.07,104691321
2019-06-07,175.6,191.92,170.27,190.15,154348161
2019-06-14,191.81,196.79,190.3,192.74,111843021
2019-06-21,192.9,200.85,192.17,198.78,131658960
2019-06-28,198.54,201.57,195.29,197.92,117368626
2019-07-05,203.17,205.08,200.65,204.23,72879519
2019-07-12,200.81,204.39,198.41,203.3,101600835
2019-07-19,204.09,206.5,202.36,202.59,87433154
2019-07-26,203.65,209.73,203.61,207.74,87153118
2019-08-02,208.46,221.37,201.63,204.02,219770512
2019-08-09,197.99,203.53,192.58,200.99,173211425
2019-08-16,199.62,212.14,199.15,206.5,163266105
2019-08-23,210.62,214.44,201.0,202.64,142066853
2019-08-30,205.86,210.45,203.32,208.74,110091319
2019-09-06,206.43,214.42,204.22,213.26,82585672
2019-09-13,214.84,226.42,211.07,218.75,175366943
2019-09-20,217.73,223.76,217.47,217.73,145352672
2019-09-27,218.95,222.49,217.14,218.82,117784618
2019-10-04,220.9,228.22,215.13,227.01,163381242
2019-10-11,226.27,237.64,224.33,236.21,150154587
2019-10-18,234.9,238.13,233.2,236.41,108261581
2019-10-25,237.52,246.73,237.32,246.58,100713664
2019-11-01,247.42,255.93,237.26,255.82,163067611
2019-11-08,257.33,260.44,255.37,260.14,106014081
2019-11-15,258.3,265.78,258.28,265.76,115661500
2019-11-22,265.8,268.0,260.4,261.78,114060454
2019-11-29,262.71,268.0,262.5,267.25,75404884
2019-12-06,267.27,271.0,256.29,270.71,115090042
2019-12-13,270.0,275.3,264.91,275.15,142408267
2019-12-20,277.0,282.65,276.98,279.44,183341280
2019-12-27,280.53,293.97,280.37,289.8,96724537
2020-01-03,289.46,300.6,285.22,297.43,131852981
2020-01-10,293.79,312.67,292.75,310.33,168452059
2020-01-17,311.64,318.74,309.55,318.73,162824452
2020-01-24,317.19,323.33,315.65,318.31,115445527
2020-01-31,310.06,327.85,304.88,309.51,216776323
2020-02-07,304.3,325.22,302.22,320.03,163134650
2020-02-14,314.18,327.22,313.85,324.95,123065907
2020-02-21,315.36,324.65,310.5,313.05,119254440
2020-02-28,297.26,304.18,256.37,273.36,349768234
2020-03-06,282.28,304.0,277.72,289.03,323450224
2020-03-13,263.75,286.44,248.0,277.97,404405247
2020-03-20,241.95,259.08,228.0,229.24,405065837
2020-03-27,228.08,258.68,212.61,247.74,346165813
2020-04-03,250.74,262.49,236.9,241.41,209252759
2020-04-09,250.9,271.7,249.38,267.99,183929846
2020-04-17,268.31,288.25,265.83,282.8,207386812
2020-04-24,277.95,283.01,265.43,282.97,169846750
2020-05-01,281.8,299.0,278.2,289.07,197513427
2020-05-08,289.17,310.35,286.32,310.13,168228968
2020-05-15,308.1,319.69,300.21,307.71,208536826
2020-05-22,313.17,320.89,310.32,318.89,133274690
2020-05-29,323.5,324.24,313.09,317.94,131465363
2020-06-05,317.75,331.75,317.21,331.5,124490802
2020-06-12,330.25,354.77,327.32,338.8,202956789
2020-06-19,333.25,356.56,332.58,349.72,194985086
2020-06-26,351.34,372.38,351.15,353.63,220750873
2020-07-02,353.25,370.47,351.28,364.11,124222310
2020-07-10,370.0,385.27,369.87,383.68,141212101
2020-07-17,389.06,399.82,375.51,385.31,179660754
2020-07-24,385.67,397.0,356.58,370.46,165885792
2020-07-31,374.84,425.66,372.99,425.04,211898609
2020-08-07,432.8,457.65,431.57,444.45,250852555
2020-08-14,450.4,464.17,436.4267,459.63,235474473
2020-08-21,464.25,499.472,455.8501,497.48,208464758
2020-08-28,514.79,515.14,492.21,499.23,265909531
2020-09-04,127.58,137.98,110.89,120.96,1166301669
2020-09-11,113.95,120.5,110.0,112.0,771441734
2020-09-18,114.72,118.829,106.09,106.84,944934651
2020-09-25,104.54,112.86,103.1,112.28,847212649
2020-10-02,115.01,117.72,112.22,113.02,641240539
2020-10-09,113.91,117.0,112.25,116.97,548575054
2020-10-16,120.06,125.39,118.15,119.02,881572555
2020-10-23,119.96,120.419,114.28,115.04,519569644
2020-10-30,114.01,117.28,107.72,108.86,684767901
2020-11-06,109.11,119.62,107.32,118.69,609571825
2020-11-13,120.5,121.99,114.13,119.26,589872919
2020-11-20,118.92,120.99,116.81,117.34,389493361
2020-11-27,117.18,117.6202,112.59,116.59,364376131
2020-12-04,116.97,123.78,116.81,122.25,541563385
2020-12-11,122.31,125.95,120.15,122.41,452278651
2020-12-18,122.6,129.58,121.54,126.655,621758148
2020-12-24,125.02,134.405,123.449,131.97,433757134
2020-12-31,133.99,138.789,131.72,132.69,439740666
2021-01-08,133.52,133.6116,126.382,132.05,610791157
2021-01-15,129.19,131.45,126.86,127.14,481518252
2021-01-22,127.78,139.85,126.938,139.07,430065722
2021-01-29,143.07,145.09,130.21,131.96,716990967
2021-02-05,133.75,137.42,130.93,136.76,438264070
2021-02-12,136.03,137.877,133.6921,135.37,344357350
2021-02-19,135.49,136.01,127.41,129.87,362474097
2021-02-26,128.01,129.72,118.39,121.26,680391444
2021-03-05,123.75,128.72,117.57,121.42,663456753
2021-03-12,120.93,123.21,116.21,121.03,586977280
2021-03-19,121.41,127.22,119.675,119.99,626770404
2021-03-26,120.33,124.24,118.92,121.21,488825826
2021-04-01,121.65,124.18,118.86,123.0,359904082
