,timestamp,open,high,low,close,volume,rsi_14,macd,macd_signal,sma_5,sma_20,return,future_return,target,overall_sentiment_score,ticker_sentiment,ticker_relevance,topic_Economy - Monetary,topic_Technology,topic_Financial Markets,topic_Manufacturing,topic_Economy - Fiscal,topic_Energy & Transportation,topic_Finance,topic_Life Sciences,topic_IPO,topic_Earnings,topic_Retail & Wholesale,topic_Mergers & Acquisitions,topic_Real Estate & Construction,topic_Blockchain,topic_Economy - Macro
21,2018-04-20,295.17,299.98,289.75,290.24,5627928,45.874771607481414,-5.268209048430947,-7.348887389630253,292.514,288.65299999999996,-0.09681033141434581,-0.02367006615214995,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2018-04-23,291.29,291.62,282.33,283.37,4893378,43.25721163712981,-5.713823552294457,-7.021874622163094,290.946,287.74449999999996,-0.09628141344559249,0.00031760595687613247,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2018-04-24,285.0,287.09,278.46,283.46,5685308,43.30285255715496,-5.9906574393408505,-6.815631185598646,290.1,286.7085,-0.08723232973756245,-0.009772101883863571,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2018-04-25,283.5,285.16,277.25,280.69,4013574,42.17836311735152,-6.3602491464075115,-6.724554777760419,287.56800000000004,286.784,-0.1132278141092471,0.017065089600627026,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2018-04-26,278.75,285.79,276.5,285.48,4356013,44.84558757608731,-6.195225564805526,-6.618688935169441,284.648,288.169,-0.0764153995470721,0.030124702255849733,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2018-04-27,285.37,294.47,283.83,294.08,4364626,49.3619976630492,-5.3092928377406565,-6.356809715683684,285.416,289.5665,-0.02473966969556285,-0.0006120783460282775,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2018-04-30,293.61,298.73,292.5,293.9,4228172,49.27105582816245,-4.56904021297197,-5.999255815141342,287.522,291.6375,-0.03379577881517537,0.020483157536577146,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2018-05-01,293.51,300.82,293.22,299.92,4625603,52.42775571861829,-3.4567734532475924,-5.490759342762592,290.81399999999996,293.25699999999995,0.07428898918260618,0.004101093624966579,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2018-05-02,298.57,306.85,297.78,301.15,8970370,53.070322609379495,-2.4478262944521703,-4.882172733100508,294.90600000000006,293.96750000000003,0.1682442392737995,-0.05545409264486134,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2018-05-03,278.79,288.04,275.23,284.45,17352130,44.317704090175695,-2.9616389045758638,-4.498065967395579,294.7,292.904,0.068838537556833,0.03388996308665848,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2018-05-04,283.0,296.86,279.52,294.09,8569354,49.4956802291752,-2.561444922142016,-4.110741758344867,294.70199999999994,292.6435,0.1648051330798479,0.029514774388792464,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2018-05-07,297.5,305.96,295.17,302.77,8678224,53.67305948122094,-1.5262907202678093,-3.5938515507294553,296.476,293.299,0.1317235450229881,-0.0026422697096805114,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2018-05-08,300.8,307.75,299.0,301.97,5930000,53.236004796232415,-0.7616965083119567,-3.027420542245956,296.88599999999997,293.1625,0.05238028856206878,0.016160545749577704,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2018-05-09,300.41,307.01,300.05,306.85,5727365,55.610515067036104,0.2353125923179391,-2.374873915333177,298.02599999999995,293.4585,0.0036961925945309115,-0.005963825973602899,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
