,timestamp,open,high,low,close,volume,rsi_14,macd,macd_signal,sma_5,sma_20,return,future_return,target,overall_sentiment_score,ticker_sentiment,ticker_relevance,topic_Economy - Monetary,topic_Technology,topic_Financial Markets,topic_Manufacturing,topic_Economy - Fiscal,topic_Energy & Transportation,topic_Finance,topic_Life Sciences,topic_IPO,topic_Earnings,topic_Retail & Wholesale,topic_Mergers & Acquisitions,topic_Real Estate & Construction,topic_Blockchain,topic_Economy - Macro
0,2018-03-21,175.04,175.09,171.26,171.27,35247358,42.81516170595047,1.4904043320582616,2.5128434805598068,175.696,176.937,0.02330166696540603,-0.014129736673089366,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2018-03-22,170.0,172.68,168.6,168.85,41051076,38.62091217220823,0.8026330885889479,2.1708014021656354,173.736,176.7545,-0.02393201919186083,-0.02315664791234817,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2018-03-23,168.39,169.92,164.94,164.94,40248954,32.99657205789185,-0.057274672973477436,1.725186187137813,171.12,176.22650000000002,-0.043437916835817436,0.047471807930156595,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2018-03-26,168.07,173.1,166.44,172.77,36272617,49.01054545212386,-0.10572349273920167,1.35900425116241,170.614,175.91649999999998,0.005353505964504013,-0.02564102564102566,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2018-03-27,173.68,175.15,166.92,168.34,38962839,42.780708244419756,-0.49586745702589496,0.9880299095247491,169.234,175.41400000000002,-0.01595837961068558,-0.01104906736366884,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2018-03-28,167.25,170.02,165.19,166.48,41668545,40.45551628951943,-0.944260962298614,0.6015717351600764,168.276,174.83200000000002,-0.03489855072463777,0.0078087457952908945,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2018-03-29,167.81,171.75,166.9,167.78,38398505,42.79572410566302,-1.1811019027567795,0.24503700757670527,168.062,174.471,-0.043988603988603936,-0.006556204553582079,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2018-04-02,166.64,168.94,164.47,166.68,37586791,41.31605122237095,-1.4409504811469844,-0.09216049016803268,168.41,173.99450000000002,-0.06867072693747556,0.010259179265658558,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2018-04-03,167.64,168.75,164.88,168.39,30278046,44.52701202253566,-1.4917042051718283,-0.37206923316879187,167.534,173.573,-0.05605695386512699,0.019122275669576805,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2018-04-04,164.88,172.01,164.77,171.61,34605489,50.06744732487436,-1.2576029438787941,-0.5491759753107923,168.188,173.32,-0.03654839434089374,0.006934327836373155,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,2018-04-05,172.58,174.23,172.08,172.8,26933197,51.97639007726966,-0.9649298423657058,-0.6323267487217751,169.45200000000003,173.20850000000002,-0.012571428571428456,-0.025578703703703742,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2018-04-06,170.97,172.48,168.2,168.38,35005290,45.08232425891518,-1.0772237959680808,-0.7213061581710363,169.572,172.78050000000002,-0.04443561659383699,0.0099180425228651,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2018-04-09,169.88,173.09,169.85,170.05,29017718,47.89443430983508,-1.019707961371978,-0.7809865188112246,170.246,172.28400000000002,-0.038287524035742426,0.018817994707438945,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2018-04-10,173.0,174.0,171.53,173.25,28614241,52.87407744126279,-0.7077544389805155,-0.7663401028450829,171.21800000000002,171.8605,-0.019358125318390096,-0.004675324675324721,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2018-04-11,172.23,173.92,171.7,172.44,22431640,51.53159861699508,-0.5198962155800189,-0.7170513253920702,171.38400000000001,171.48399999999998,-0.014797463292007151,0.00985850150777079,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
