,timestamp,open,high,low,close,volume,rsi_14,macd,macd_signal,sma_5,sma_20,return,future_return,target,overall_sentiment_score,ticker_sentiment,ticker_relevance,topic_Economy - Monetary,topic_Technology,topic_Financial Markets,topic_Manufacturing,topic_Economy - Fiscal,topic_Energy & Transportation,topic_Finance,topic_Life Sciences,topic_IPO,topic_Earnings,topic_Retail & Wholesale,topic_Mergers & Acquisitions,topic_Real Estate & Construction,topic_Blockchain,topic_Economy - Macro
10,2020-07-31,3062.0,3246.82,2995.76,3164.68,24482837,75.56254946057811,289.0020526500757,228.6399388003123,3045.1719999999996,2502.86,1.2118410109100566,0.0008784458460255884,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-08-07,3180.51,3247.47,3101.21,3167.46,21575711,75.61324808672552,298.12475891286385,242.5369028228226,3100.6040000000003,2568.9285,1.0736371432873537,-0.0061374097857589405,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,2020-08-14,3170.31,3217.5211,3073.0,3148.02,16313326,74.45008228450062,300.323975968749,254.0943174520079,3090.208,2631.3244999999997,1.0017677506327023,0.043424120558319235,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-08-21,3173.12,3320.0,3154.1775,3284.72,19115341,77.11592229623503,309.52935712684985,265.1813253869763,3154.758,2700.231,1.0776874663967866,0.03564382961104773,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-08-28,3310.15,3453.0,3257.5608,3401.8,22329616,79.12488694641326,322.5538653603826,276.65583338165754,3233.3360000000002,2768.183,1.1222651302942772,-0.03150684931506853,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,2020-09-04,3408.99,3552.25,3111.13,3294.62,28536635,72.82229800551218,320.53245311759065,285.43115732884417,3259.324,2814.1639999999998,1.092659285936597,-0.05414888515215721,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-09-11,3144.0,3349.89,3083.98,3116.22,21707603,63.72373358182916,301.06459505708335,288.557844874492,3249.076,2849.464,0.9353600596217742,-0.051764637926718926,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-09-18,3172.9372,3187.39,2905.54,2954.91,28423950,56.811819684364465,269.5130299662919,284.74888189285195,3210.454,2882.9075,0.8000840674001242,0.04745322192554102,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-09-25,2906.5,3133.99,2871.0,3095.13,28864000,60.79285208556189,252.90741025166835,278.3805875646152,3172.536,2918.6835,0.8379740972333565,0.009650644722515755,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,2020-10-02,3148.85,3224.0,3117.1684,3125.0,23208684,61.60478080012435,239.39796562908123,270.5840631775084,3117.1760000000004,2954.4445,0.8211274089873366,0.051727999999999996,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,2020-10-09,3145.84,3288.99,3090.0,3286.65,21253613,65.7397165967427,238.98061766974206,264.2633740759552,3115.582,2996.933,0.9156656000279775,-0.004241400818462582,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,2020-10-16,3349.94,3496.24,3160.0,3272.71,31635612,65.0887342767235,234.8181870159042,258.37433666394503,3146.88,3038.45,0.9253500411813156,-0.020872610160998062,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,2020-10-23,3299.61,3329.0,3121.94,3204.4,22004732,61.85628729292796,223.43180189377063,251.38582970991015,3196.778,3074.52,0.8732279920263295,-0.052505929347147706,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,2020-10-30,3198.74,3291.66,3019.0,3036.15,30773138,54.65645302374964,198.54296110698442,240.81725598932502,3184.982,3099.0765,0.6746275571832789,0.09064769527197258,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,2020-11-06,3061.74,3366.8,2950.12,3311.37,29430886,62.371891888248314,198.73543101925225,232.40089099531048,3222.256,3130.8945,0.8257539835694987,-0.05513125987129197,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,2020-11-13,3231.03,3289.0,3019.4828,3128.81,26282080,55.612218877700954,182.05824441468394,222.33236167918517,3190.6879999999996,3152.6915,0.7217089370319214,-0.009399739837190446,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,2020-11-20,3093.2,3189.25,3072.685,3099.4,16560655,54.58587910164028,164.57123787931368,210.7801369192109,3156.0260000000003,3163.1465,0.6998941473928997,0.030954378266761395,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,2020-11-27,3116.6986,3216.19,3065.46,3195.34,14463046,57.351030124357855,156.64846936437334,199.9538034082434,3154.214,3162.9135,0.693972326777289,-0.010252430101335142,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,2020-12-04,3208.48,3248.95,3125.55,3162.58,17492424,56.095054019240294,146.0426710194556,189.17157693048586,3179.5,3172.944,0.6802392918999904,-0.014595678212092622,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,2020-12-11,3156.48,3184.13,3072.82,3116.42,16233336,54.29089929443942,132.38670170626438,177.81460188564157,3140.51,3178.3195,0.6355811671101455,0.027348688559308387,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,2020-12-18,3143.0,3263.51,3126.0,3201.65,21377156,57.038419120951765,126.97787444714004,167.64725639794128,3155.0780000000004,3180.168,0.5907159998211367,-0.00904533599862567,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,2020-12-24,3200.01,3226.9666,3166.0,3172.69,9764331,55.81084559675929,118.98294853817242,157.91439482598753,3169.736,3180.4294999999997,0.6252951994549376,0.026551601322536866,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,2020-12-31,3194.0,3350.65,3172.69,3256.93,16660177,58.601879677376715,118.08318666034029,149.9481531928581,3182.054,3185.875,0.6531045229140335,-0.022791401718796567,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,2021-01-08,3270.0,3272.0,3131.16,3182.7,18514101,55.28807646304231,110.11108619582456,141.9807397934514,3186.078,3180.774,0.6619756554796057,-0.0246488830238476,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,2021-01-15,3148.01,3189.95,3086.0,3104.25,17723802,51.944922036089395,96.35219168720596,132.8550301722023,3183.644,3165.8965,0.5498002995506739,0.06055568978014003,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
