1. open,2. high,3. low,4. close,5. volume
74.977,75.0,74.7915,75.0,14968200
74.604,75.0,74.6,74.976,8756220
74.6105,74.643,74.4245,74.617,3855800
74.581,74.664,74.5035,74.6015,2919600
74.551,74.7525,74.4805,74.5705,5750300
74.5775,74.625,74.325,74.5695,7452460
74.75,74.778,74.3525,74.585,10295320
74.6625,74.894,74.6625,74.75,595860
74.6575,74.889,74.651,74.7,305720
74.65,74.725,74.5805,74.697,26260
74.7195,74.7195,74.692,74.692,6000
74.75,74.7505,74.6755,74.7505,21600
74.3745,74.46,74.354,74.46,50180
74.35,74.375,74.35,74.375,14720
74.38,74.3875,74.35,74.35,31300
74.267,74.4125,74.175,74.3755,4033540
73.9835,74.287,73.788,74.2295,10655300
74.238,74.4495,73.95,74.0055,5054040
74.322,74.4425,73.862,74.23,9401760
74.581,74.7195,74.2525,74.312,4766680
74.699,74.7775,74.499,74.5625,5080880
74.3345,74.8615,74.3,74.6875,9215260
74.8,75.127,74.276,74.33,14801560
74.5785,74.845,74.2745,74.8,707500
74.2745,74.7245,74.2745,74.575,376520
74.187,74.325,74.15,74.275,22000
73.9025,74.115,73.9015,74.0825,39220
73.855,73.855,73.8225,73.825,20000
73.9,73.95,73.85,73.85,68300
74.075,74.085,73.9,73.9,163300
74.094,74.146,74.05,74.075,118460
74.146,74.15,73.9,74.07,2879820
74.9195,74.9195,74.085,74.146,19515300
74.6775,75.1745,74.5765,74.9195,16402440
74.71,74.76,74.582,74.6705,3031360
74.655,74.7635,74.4065,74.7275,4617700
74.617,74.8985,74.5175,74.644,7123800
74.2325,74.7845,74.064,74.618,13441040
74.34,74.5605,73.946,74.2455,15135720
73.595,74.4175,73.595,74.3225,722880
73.699,74.05,73.699,74.05,168840
73.5995,73.6,73.55,73.6,8000
73.55,73.55,73.45,73.45,8600
73.6,73.6,73.6,73.6,2720
73.5175,73.625,73.5175,73.625,181960
73.4115,73.481,73.4115,73.43,8600
73.4475,73.4475,73.4005,73.447,8200
73.4175,73.5435,73.317,73.4475,4322400
73.5185,73.6105,72.7,73.418,25086360
72.175,72.3,72.175,72.3,50100
72.2,72.2,72.1475,72.175,47120
72.24,72.367,72.175,72.2,102160
72.367,72.3835,72.15,72.2745,12876180
72.497,72.7,71.6875,72.298,19833100
72.1155,72.7735,71.857,72.491,18005500
70.7755,72.3105,70.167,72.1215,19199220
70.8825,70.946,70.4305,70.7665,8570060
70.6055,71.1975,70.5175,70.8905,18785800
68.893,70.6275,68.8735,70.608,32235180
71.1005,71.2495,68.26,68.893,37405340
71.975,72.75,70.7605,71.0995,1716220
71.4625,72.7525,71.45,71.918,372280
71.45,71.45,71.35,71.3935,10000
71.4745,71.4745,71.35,71.35,4560
71.3915,71.3915,71.366,71.366,4000
71.3775,71.4245,71.314,71.35,61400
71.3475,71.46,71.2775,71.3845,84000
71.6055,71.6055,71.25,71.25,290160
71.4715,71.749,71.4685,71.665,5019860
71.5085,71.875,70.821,71.4595,16973900
71.773,72.198,71.0555,71.53,12724800
71.623,72.0405,70.6515,71.75,14074280
71.3285,72.795,71.0115,71.637,23137960
70.4495,71.5415,69.3085,71.281,27697420
71.87,72.349,69.414,70.432,31311900
73.2415,73.2415,70.2,71.849,40385340
75.4225,75.45,73.144,73.1505,1434900
74.96,75.4995,74.8,74.8665,310840
74.438,74.8495,74.3,74.8495,51240
74.2105,74.6055,74.2,74.509,46740
74.2,74.4,74.2,74.342,14460
75.05,75.5,75.0395,75.5,176840
74.939,75.05,74.9025,75.05,27220
74.95,74.9975,74.8525,74.9975,536140
74.8525,75.0,74.8,74.9175,4175900
76.061,76.1495,74.116,74.856,23632640
76.9365,77.089,76.027,76.057,10738660
78.177,78.25,76.55,76.957,9185600
78.709,78.7985,77.804,78.121,8618200
78.4655,78.7755,78.259,78.713,6511680
78.577,78.74,78.1535,78.477,9693820
78.352,78.775,78.136,78.567,13271280
78.4005,78.5725,78.3325,78.35,348540
78.4845,78.5625,78.427,78.5005,159440
78.8,78.8,78.482,78.545,49720
78.55,78.7675,78.55,78.7675,12880
78.65,78.65,78.5,78.5155,10060
77.897,78.0,77.85,78.0,85480
77.925,77.935,77.828,77.828,38080
77.8,77.8,77.6885,77.8,35020
77.793,77.825,77.7025,77.793,6761280
77.0465,77.8495,77.018,77.7935,11306360
76.335,77.25,76.2505,77.013,6838760
76.058,76.65,76.025,76.309,4994560
75.9015,76.2265,75.55,76.0495,5287300
75.9565,76.095,74.9625,75.918,10059120
76.5,76.6385,75.8505,75.9455,10771700
76.4,76.9635,76.255,76.4505,15300560
76.4995,76.6,76.15,76.4495,572400
76.5855,76.5855,76.1005,76.1875,290980
76.5885,76.5885,76.3545,76.55,54180
76.3285,76.55,76.3,76.55,20520
75.5505,76.5,75.5505,76.4,38280
74.75,74.7945,74.6875,74.75,79860
74.8,74.8445,74.75,74.75,73180
74.85,74.867,74.77,74.8105,203380
74.7775,74.99,74.7775,74.8205,5713940
75.2305,75.75,74.768,74.7775,23940200
76.4575,76.545,75.1635,75.238,10356200
75.656,76.5,75.45,76.4345,10403400
75.963,76.295,75.6065,75.6815,9743920
76.9735,77.065,75.9745,75.9905,8582840
76.439,77.2825,76.3575,76.9735,11742560
77.155,77.451,75.8515,76.462,18834300
76.4775,77.392,76.29,77.065,642380
76.1605,76.7105,76.1605,76.7105,233160
75.7995,76.25,75.7995,76.2,139920
76.1,76.1,75.7,75.7,39940
76.43,76.43,75.8985,75.9,33920
76.855,76.875,75.9125,76.3495,355840
77.0615,77.0615,76.7875,76.9,112840
77.1,77.212,77.075,77.075,66300
77.246,77.766,77.045,77.1,5423340
77.602,77.782,77.12,77.246,13819280
78.224,78.2375,77.586,77.614,4932180
77.838,78.273,77.5,78.1985,6709900
77.5265,77.975,77.359,77.8415,10405780
77.7365,78.0495,77.25,77.5295,11985920
78.3185,78.6925,77.478,77.7815,12064220
78.35,78.5275,77.8,78.368,11568520
78.429,78.7,78.2155,78.354,372200
78.3395,78.584,78.322,78.45,58460
78.456,78.456,78.294,78.294,16000
