1. open,2. high,3. low,4. close,5. volume
42.2199,42.3245,42.0118,42.236,12837372
42.1227,42.2325,42.1168,42.2195,8075824
42.1923,42.2655,42.0767,42.1239,15145336
41.9163,42.2325,41.9019,42.1923,18844136
41.9316,42.0933,41.8314,41.9139,24273576
41.5884,41.9965,41.5742,41.9316,23894152
41.6285,41.6662,41.5412,41.5954,576228
41.5247,41.6261,41.5152,41.6261,386540
41.5247,41.5718,41.5034,41.5435,75768
41.5435,41.5671,41.5081,41.5364,26560
41.5247,41.5718,41.5247,41.5482,23700
41.4067,41.4232,41.3972,41.402,34540
41.4232,41.4374,41.402,41.4374,42288
41.4161,41.4374,41.3831,41.4232,126452
41.4067,41.4657,41.3571,41.4161,8662484
41.284,41.4421,41.2793,41.4208,30475556
41.1778,41.2887,41.1165,41.284,13650044
41.1873,41.1896,41.0952,41.1802,8254848
41.2109,41.2309,41.1165,41.1873,8881760
41.146,41.2392,41.0835,41.2061,14070456
41.0693,41.159,40.9443,41.146,17815284
40.9466,41.2014,40.9041,41.074,19465424
40.9643,41.0245,40.9183,40.9301,392020
40.9702,41.0056,40.9395,40.9537,187280
40.8971,41.0056,40.8876,40.9773,73696
40.9537,40.9584,40.8758,40.8758,32200
40.8876,40.9584,40.8876,40.9537,13760
40.7885,40.8404,40.7767,40.8216,74940
40.7602,40.7885,40.7602,40.7885,29672
40.8145,40.8145,40.7579,40.7697,21960
40.6989,40.8168,40.6989,40.7956,6816276
40.6399,40.8168,40.5361,40.7248,23221332
40.7791,40.8994,40.6021,40.6375,10502664
40.8192,40.9065,40.654,40.7791,11893944
41.0103,41.0315,40.7531,40.8263,10049240
40.9268,41.041,40.843,41.0091,12603688
40.7649,41.0292,40.68,40.9301,19293080
40.5715,40.9041,40.4865,40.7591,17498080
40.5113,40.6187,40.4346,40.5762,509088
40.4511,40.5809,40.4511,40.5007,294128
40.378,40.5738,40.3001,40.4276,66856
40.2978,40.411,40.2907,40.3355,5584
40.2388,40.3096,40.109,40.2978,77836
40.2388,40.286,40.2081,40.2388,110368
40.3261,40.3403,40.2317,40.2671,154708
40.3096,40.3308,40.2742,40.3308,115508
40.3615,40.4559,40.2506,40.3096,11922284
40.9183,40.9325,40.3473,40.3473,31313608
40.8923,41.0811,40.8381,40.9183,19809704
40.8357,40.9159,40.7602,40.8923,7513396
40.982,40.9914,40.7366,40.8381,13163940
40.982,41.0693,40.8121,40.982,16967300
40.8252,41.0009,40.772,40.982,18104320
40.8263,40.956,40.6812,40.8239,14621108
40.6989,40.8971,40.6045,40.8404,513868
40.6092,40.7225,40.6069,40.6965,197060
40.6305,40.6399,40.5502,40.6399,64484
40.5384,40.6352,40.5384,40.6234,31576
40.5573,40.5573,40.4889,40.4889,20860
40.5526,40.6399,40.5526,40.6352,44584
40.5196,40.5809,40.4983,40.5738,52596
40.5337,40.5644,40.5172,40.5172,166384
40.555,40.909,40.5101,40.5196,11423828
39.7032,39.7292,39.6773,39.6773,79452
39.7056,39.7504,39.7056,39.7315,213936
39.682,39.7315,39.6749,39.7056,391912
39.6112,39.7528,39.5546,39.6796,26257456
40.4276,40.5219,39.6112,39.6159,30728936
40.271,40.4818,40.1704,40.4228,10367024
40.1185,40.3426,39.9274,40.2723,8380388
40.0619,40.1562,39.892,40.1208,8560548
40.1916,40.2577,39.8967,40.0607,13269408
39.4626,40.2011,39.3776,40.1916,18290940
39.6018,39.8283,39.3848,39.4607,13806844
39.649,39.6726,39.5334,39.6277,517724
39.5192,39.6726,39.4272,39.6324,228536
39.6537,39.6537,39.5735,39.6018,2200
39.564,39.6112,39.5428,39.6112,12020
39.59,39.59,39.5145,39.5145,5920
39.3422,39.3658,39.3305,39.3658,44488
39.2361,39.3894,39.2361,39.354,85192
39.2785,39.3682,39.2219,39.2809,178948
39.2785,39.3658,39.2762,39.3658,7400780
39.398,39.5805,39.1488,39.2785,25173960
39.5782,39.6914,39.3446,39.4012,12801364
39.4437,39.8107,39.3328,39.5746,12957700
39.6466,40.1138,39.413,39.4461,17049996
39.2903,39.8613,39.2903,39.6372,20363824
39.3873,39.5805,39.0096,39.2903,21200260
39.4413,39.5876,38.9742,39.3894,21824740
39.695,39.9061,39.4036,39.4815,1193408
39.6631,39.9344,39.6089,39.6372,522024
39.5499,39.7197,39.4484,39.6584,65568
39.4956,39.6466,39.4201,39.5452,63660
39.6136,39.6136,39.3092,39.4437,21400
39.7717,39.8141,39.7315,39.8141,34396
39.741,39.7882,39.6962,39.7669,54512
39.7504,39.7504,39.6395,39.7433,5171964
39.7197,40.4723,39.7174,39.7504,10223336
40.0784,40.1161,39.3824,39.7197,35132636
40.5243,40.5314,40.0335,40.084,20974648
40.8735,40.9631,40.4276,40.5231,13085936
41.133,41.2085,40.7248,40.8709,12210752
40.9277,41.1967,40.7909,41.1291,12281944
41.2038,41.2109,40.8546,40.9324,15679008
40.9395,41.3241,40.9089,41.2038,21444244
41.1726,41.2227,40.9089,40.9466,520388
41.0197,41.2179,41.0197,41.0858,251316
41.1141,41.166,41.0433,41.0433,38220
41.1,41.1188,41.0693,41.1188,13684
40.8876,41.1,40.8876,41.1,30784
40.8121,40.8168,40.7626,40.8168,33892
40.7767,40.7933,40.7697,40.7791,17612
40.7225,40.7815,40.7154,40.7767,78092
40.7626,40.8381,39.6836,40.7225,15901300
40.469,40.8404,40.4488,40.7602,23500896
39.9934,40.5715,39.9911,40.4641,15701680
39.8188,40.1043,39.8094,39.9887,9277896
39.5687,39.9226,39.4708,39.8188,9574284
39.6891,39.774,39.2691,39.5687,15272456
39.9698,40.043,39.6159,39.6867,17949728
39.6136,40.0807,39.5522,39.9698,21038540
39.6749,39.8141,39.5971,39.6136,666884
39.7858,39.8141,39.6372,39.649,405004
39.7929,39.8472,39.7032,39.7858,58804
39.7363,39.8141,39.7363,39.7905,25732
39.3658,39.8023,39.3658,39.8023,36400
38.953,38.9883,38.9388,38.9648,46916
38.9412,38.9648,38.9341,38.9364,70588
38.9435,38.9648,38.9152,38.9648,144624
38.9459,39.0473,38.9105,38.927,13007588
39.4319,39.5617,38.9152,38.9199,38902448
40.0453,40.0807,39.4272,39.4295,13673564
39.5876,40.0902,39.5428,40.043,11073188
39.5098,39.7764,39.4932,39.59,10305948
40.0194,40.0477,39.4932,39.5089,13842300
39.8637,40.0312,39.6914,40.0194,20338684
39.8707,39.9887,39.5286,39.8627,20520580
39.8047,39.984,39.59,39.8589,921896
39.5286,39.8212,39.5286,39.7952,256496
39.2903,39.5782,39.2903,39.5216,121216
39.4484,39.5168,39.3305,39.3305,32240
39.6631,39.7433,39.4012,39.4602,47856
39.6513,39.6513,39.531,39.5664,230020
39.8,39.8259,39.6372,39.6844,137492
39.8306,39.8731,39.8023,39.8023,66248
39.8377,39.8731,39.7669,39.8259,9109340
40.3025,40.4252,39.7787,39.8141,30819988
40.6021,40.6776,40.2836,40.3025,12776756
40.2435,40.7413,40.1279,40.6045,19010924
40.0076,40.4158,39.9439,40.2506,18275808
39.951,40.102,39.8566,40.0099,18504276
40.0548,40.2034,39.9156,39.9486,19362704
40.0524,40.1939,39.9439,40.0595,21085436
40.1798,40.3001,40.0406,40.0831,655852
40.109,40.2742,40.109,40.1633,242144
40.0878,40.168,40.0147,40.1067,18524
40.1586,40.1798,40.0099,40.1326,31012
40.4158,40.4158,40.1067,40.1609,124228
40.5243,40.5432,40.4936,40.5266,55332
40.4865,40.5219,40.4818,40.5219,69696
40.4464,40.5148,40.4464,40.4983,107744
40.4511,41.054,40.4087,40.4464,11903580
39.1063,39.3069,39.1063,39.2007,153736
39.1323,39.1393,39.0827,39.1134,150820
39.0119,39.1771,38.9907,39.1252,1396568
38.9907,39.0709,38.8987,38.9907,13808148
38.8588,39.1629,38.8444,38.9907,21907920
39.0329,39.0355,38.7996,38.8609,11321296
38.986,39.0497,38.7878,39.0355,10092612
39.0543,39.0851,38.8609,38.986,10808240
39.2148,39.262,38.9364,39.0473,14218452
39.2219,39.4626,39.1393,39.2125,25133612
38.3395,39.4107,38.1838,39.2243,34706292
38.4929,38.5259,38.2923,38.3537,635488
38.4669,38.5283,38.4103,38.4457,137736
38.5188,38.5188,38.5047,38.5047,2000
38.4811,38.4929,38.4575,38.4929,12328
38.3867,38.5165,38.3867,38.4787,15176
38.2923,38.2923,38.2546,38.2617,49832
38.3277,38.3395,38.2711,38.2923,78132
38.3372,38.3395,38.2735,38.3206,28116
38.2971,38.3348,38.2286,38.3159,7989444
38.4221,38.5023,38.2805,38.2994,19671544
