,timestamp,open,high,low,close,volume,rsi_14,macd,macd_signal,sma_5,sma_20,return,future_return,target,overall_sentiment_score,ticker_sentiment,ticker_relevance,topic_Energy & Transportation,topic_Technology,topic_Blockchain,topic_Economy - Monetary,topic_Financial Markets,topic_Manufacturing,topic_Earnings,topic_Real Estate & Construction,topic_Finance,topic_Economy - Fiscal,topic_Retail & Wholesale,topic_Life Sciences,topic_IPO,topic_Mergers & Acquisitions,topic_Economy - Macro
0,2024-08-25,225.9427,247.1144,172.3108,226.6312,212676238,68.51540425390847,11.727881149509074,10.613963697368133,220.71017999999998,202.56121,0.004999917961434841,0.008893744550617866,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,2024-09-01,225.6334,232.4085,159.2196,228.6468,241668612,69.47161629669522,11.938872916631283,10.878945541220764,223.00516,205.22496500000003,0.008893744550617866,-0.03940663066353878,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,2024-09-08,230.0138,230.0138,206.2935,219.6366,202716901,60.60996092426156,11.249361931708421,10.953028819318295,223.22302,208.01349,-0.03940663066353878,0.009676438262111287,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,2024-09-15,222.6599,233.599,206.6636,221.7619,267228426,61.84623661540246,10.75048851694882,10.912520758844401,224.43604,210.65846000000002,0.009676438262111287,0.024820764973604525,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,2024-09-22,221.712,232.5781,202.0446,227.2662,693129919,64.91729795263535,10.676210046502462,10.865258616376014,224.78854,212.87497,0.024820764973604525,-0.001169553589579042,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,2024-09-29,228.3774,230.9367,212.1629,227.0004,247821965,64.64669346850275,10.475145033514508,10.787235899803713,224.86237999999997,215.12998500000003,-0.001169553589579042,-0.004769154591798164,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,2024-10-06,227.2898,235.9261,209.456,225.9178,255915034,63.48591415185005,10.11187933919615,10.6521645876822,224.31658,216.962605,-0.004769154591798164,0.004240037748242997,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,2024-10-13,224.3861,242.0967,208.8605,226.8757,192221715,64.10014673646785,9.788448047759346,10.479421279697629,225.76440000000002,218.840625,0.004240037748242997,0.03291890669648634,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2024-10-20,227.0004,247.1144,208.8104,234.3442,244627996,68.54322990893608,10.019275975576534,10.38739221887341,228.28086000000002,220.966245,0.03291890669648634,-0.016520144300563033,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,2024-10-27,233.4861,249.4663,216.3005,230.4728,227853510,64.11365882708677,9.777114654344103,10.265336705967549,228.92218000000003,222.67903,-0.016520144300563033,-0.03576083598585178,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
