timestamp,1. open,2. high,3. low,4. close,5. volume
2018-01-31 19:00:00,73.0500,73.1500,73.0185,73.1500,26060
2018-01-31 18:00:00,72.9500,73.0840,72.9000,72.9500,60020
2018-01-31 17:00:00,72.3585,73.0525,72.3500,72.9845,351100
2018-01-31 16:00:00,72.5775,72.7000,72.2500,72.5445,6935520
2018-01-31 15:00:00,73.1650,73.2215,72.5020,72.5695,22019040
2018-01-31 14:00:00,73.4055,73.6290,72.9200,73.1550,11504600
2018-01-31 13:00:00,73.1610,73.4940,73.1100,73.4250,6183680
2018-01-31 12:00:00,72.7970,73.1790,72.7375,73.1610,4885140
2018-01-31 11:00:00,73.1030,73.1035,72.7695,72.8015,7710180
2018-01-31 10:00:00,73.1305,73.2250,72.8250,73.1000,12222960
2018-01-31 09:00:00,72.6050,73.2325,72.5560,73.1400,14294440
2018-01-31 08:00:00,72.2500,72.6500,72.2500,72.6325,603120
2018-01-31 07:00:00,72.3250,72.6970,72.2850,72.4940,409040
2018-01-31 06:00:00,72.3500,72.4000,72.2000,72.2000,63820
2018-01-31 05:00:00,72.3245,72.3665,72.3245,72.3665,32000
2018-01-31 04:00:00,72.4000,72.4375,72.2510,72.2510,47580
2018-01-30 19:00:00,71.8600,71.9250,71.8500,71.9000,21560
2018-01-30 18:00:00,71.7525,71.8250,71.7525,71.8250,7200
2018-01-30 17:00:00,71.8550,71.8910,71.7265,71.8000,406180
2018-01-30 16:00:00,71.8910,71.9440,71.3765,71.8750,2967060
2018-01-30 15:00:00,71.2190,71.9625,71.1630,71.9095,11887380
2018-01-30 14:00:00,71.4055,71.5200,71.1250,71.2040,5518480
2018-01-30 13:00:00,71.3050,71.4500,70.8010,71.4090,5904020
2018-01-30 12:00:00,71.4465,71.6125,71.1590,71.2975,6043920
2018-01-30 11:00:00,71.0295,71.5845,70.9705,71.4460,12554520
2018-01-30 10:00:00,70.4000,71.0745,70.1000,71.0255,13236440
2018-01-30 09:00:00,70.4250,70.8500,69.6000,70.4035,17783760
2018-01-30 08:00:00,70.8925,71.3885,70.2500,70.3750,882180
2018-01-30 07:00:00,70.6815,71.5500,70.6255,70.9000,510360
2018-01-30 06:00:00,70.5750,70.6950,70.5750,70.6500,11260
2018-01-29 19:00:00,71.0000,71.0000,70.8880,70.9505,62680
2018-01-29 18:00:00,70.9380,70.9995,70.9335,70.9500,60120
2018-01-29 17:00:00,70.8885,70.9380,70.8310,70.9380,29400
2018-01-29 16:00:00,70.8840,71.4315,70.8000,70.8500,5149780
2018-01-29 15:00:00,71.1530,71.3585,70.5500,70.8840,12341560
2018-01-29 14:00:00,71.1905,71.2720,71.0410,71.1405,4815700
2018-01-29 13:00:00,71.2750,71.5695,71.1175,71.1785,7684520
2018-01-29 12:00:00,70.7495,71.2725,70.6015,71.2725,8875900
