,Date,Open,High,Low,Close,Volume BTC,Volume USDT,tradecount
25,2018-02-11,8179.99,9065.78,6000.01,8063.88,340794.292131,2608962030.9285064,3182111
26,2018-02-18,8063.82,11274.0,8053.0,10383.43,311863.068137,3026660454.8544908,3359228
27,2018-02-25,10375.01,11786.01,9274.8,9590.0,350623.132911,3657589238.5328994,2886657
28,2018-03-04,9590.0,11565.0,9350.0,11515.0,183970.997614,1967477246.427072,1604626
29,2018-03-11,11515.0,11710.0,8329.0,9533.57,282035.225382,2719942892.647309,2232004
30,2018-03-18,9533.57,9888.88,7322.0,8189.99,315835.15160599997,2657745291.1090126,2450216
31,2018-03-25,8189.0,9177.01,8088.4,8470.15,285211.539511,2464528929.914906,1993351
32,2018-04-01,8470.14,8514.89,6430.0,6813.01,308729.492031,2276980709.5920525,2021451
33,2018-04-08,6813.01,7520.0,6500.0,7018.0,232320.070499,1616723766.0660725,1464142
34,2018-04-15,7011.04,8429.54,6611.0,8355.0,259877.022414,1959208437.5356402,1648802
35,2018-04-22,8355.07,9035.0,7825.4,8787.02,233025.38619,1952372499.3863933,1643201
36,2018-04-29,8785.7,9759.82,8651.62,9419.0,306668.07214,2812613536.4815593,2118018
37,2018-05-06,9417.04,10020.0,8800.49,9659.01,222274.38853999999,2089890919.300103,1677081
38,2018-05-13,9661.02,9689.67,8153.0,8679.71,224151.298751,1995981257.4347427,1724758
39,2018-05-20,8679.71,8879.99,7911.9,8526.98,182713.826012,1528659945.0791533,1744095
40,2018-05-27,8526.97,8595.31,7231.11,7338.99,190894.600939,1473706966.3342865,1586528
41,2018-06-03,7338.99,7786.69,7032.95,7714.26,211929.270766,1580400448.729519,1930065
42,2018-06-10,7714.26,7765.0,6622.81,6764.99,211352.737478,1574558979.8373327,2117420
43,2018-06-17,6765.0,6922.0,6118.68,6449.61,234080.841171,1532387822.7080858,1406168
44,2018-06-24,6444.06,6841.74,5750.0,6136.97,234147.62101499998,1493387501.4582708,1413795
45,2018-07-01,6137.95,6528.99,5780.0,6356.81,207746.559006,1282960927.4924057,1214054
46,2018-07-08,6360.82,6818.16,6271.62,6712.1,211526.019058,1393368254.076007,1322891
47,2018-07-15,6712.1,6802.06,6070.0,6353.01,192452.84988,1225870847.4731443,1007888
48,2018-07-22,6354.15,7700.0,6330.4,7394.79,294313.222604,2128249956.9973235,1602460
49,2018-07-29,7394.78,8491.77,7375.0,8211.0,288666.047141,2332298260.5844717,1575619
50,2018-08-05,8210.99,8273.0,6882.29,7024.19,282090.103584,2132225331.2656577,1404398
51,2018-08-12,7024.19,7160.0,5971.0,6308.33,334426.550743,2169762287.5202613,1694989
52,2018-08-19,6308.56,6620.0,5880.0,6477.53,378189.296487,2401304850.578152,1813570
53,2018-08-26,6477.53,6882.54,6220.0,6700.0,286906.539311,1870078552.6344426,1365251
54,2018-09-02,6700.0,7345.45,6646.5,7302.01,294674.913005,2064905776.219665,1542804
55,2018-09-09,7302.0,7410.0,6111.0,6250.81,306231.623424,2060238359.3451552,1498673
56,2018-09-16,6252.26,6584.99,6169.68,6505.0,227428.182854,1455546755.8541198,1205506
57,2018-09-23,6500.08,6839.03,6123.0,6708.0,244256.490121,1590443498.5932746,1324448
58,2018-09-30,6706.81,6814.8,6325.02,6626.57,242598.872471,1592066012.4053094,1308413
59,2018-10-07,6626.57,6697.0,6430.0,6615.26,141836.476483,931813926.7749727,756048
60,2018-10-14,6615.26,6715.6,6205.0,6339.34,166310.813544,1068868812.2791338,943296
61,2018-10-21,6339.34,7680.0,6300.0,6590.11,211592.623139,1434684785.8510528,1219900
62,2018-10-28,6590.12,6639.0,6453.0,6489.93,75328.885385,494030438.14773756,591416
63,2018-11-04,6489.93,6525.0,6245.02,6485.85,71945.400607,459573574.67943704,751373
64,2018-11-11,6485.85,6615.15,6355.0,6449.81,76161.78188,494186439.10114735,874399
65,2018-11-18,6450.71,6498.0,5403.42,5662.0,205081.183938,1193362837.9036088,1444633
66,2018-11-25,5661.94,5664.0,3652.66,4085.78,496323.79998,2227689691.7363706,2388695
67,2018-12-02,4088.69,4450.38,3689.12,4161.01,479458.799151,1958210804.8945973,2077032
68,2018-12-09,4160.55,4179.0,3222.0,3545.37,406435.817854,1482749121.2938979,1782210
69,2018-12-16,3548.49,3610.0,3156.26,3228.67,249791.790787,836152010.4252874,1117299
70,2018-12-23,3229.22,4139.99,3216.0,3929.71,489096.276467,1847570818.3619862,2458531
71,2018-12-30,3929.71,4198.0,3535.0,3801.91,332161.255442,1265644273.2709773,2002072
72,2019-01-06,3803.12,4027.71,3630.33,3987.6,214860.906242,814657329.2561299,1399286
73,2019-01-13,3987.62,4069.8,3441.3,3476.81,245887.277948,927969289.1543045,1671905
74,2019-01-20,3477.56,3720.0,3467.02,3539.28,199395.792965,716452001.8777007,1441654
75,2019-01-27,3539.26,3662.94,3434.85,3550.84,154566.450861,549194588.0437918,1163997
76,2019-02-03,3550.05,3557.75,3349.92,3458.11,186574.105423,642262558.3385055,1288715
77,2019-02-10,3458.11,3733.58,3373.1,3680.06,198350.673988,696930950.5751894,1313535
78,2019-02-17,3679.75,3700.11,3568.11,3667.58,167995.805139,608476271.5498095,1174687
79,2019-02-24,3667.62,4198.0,3655.0,3743.56,301384.22226,1179944577.934646,2007272
80,2019-03-03,3743.56,3888.0,3677.17,3807.75,190343.246726,726304516.1142129,1369483
81,2019-03-10,3807.32,3971.75,3670.69,3916.82,207833.42997,799736773.6725284,1353003
82,2019-03-17,3915.99,4056.98,3810.43,3981.14,185620.344813,725510328.9612997,1303041
83,2019-03-24,3981.85,4069.32,3880.01,3992.18,156283.263483,624615988.9141761,1144351
84,2019-03-31,3991.35,4140.0,3888.71,4103.95,178114.875049,715252731.25725,1291861
85,2019-04-07,4102.44,5275.01,4067.0,5170.27,420989.968738,2046260260.7283068,2752257
86,2019-04-14,5170.27,5422.0,4861.22,5131.3,247866.407405,1271184321.404522,1730890
87,2019-04-21,5131.28,5333.42,4950.0,5256.14,168555.911745,875025579.9790536,1265816
88,2019-04-28,5257.41,5600.0,5102.0,5307.52,247392.823904,1329057592.8265839,1770258
89,2019-05-05,5309.81,5900.0,5178.8,5775.62,191971.589975,1069857115.7025937,1509653
90,2019-05-12,5773.18,7521.78,5619.14,6967.31,313283.734225,2043227205.8384933,2443585
91,2019-05-19,6968.24,8366.0,6870.0,8148.48,461287.69413899997,3556014747.6342974,4024823
92,2019-05-26,8147.94,8740.0,7461.0,8614.43,341677.39881,2706217167.1788926,3145385
93,2019-06-02,8612.54,9074.26,8005.0,8725.98,292049.043812,2508992950.9444757,2861807
94,2019-06-09,8726.0,8800.95,7444.58,7628.13,293308.709696,2321265141.037009,2770905
95,2019-06-16,7627.57,9333.0,7511.0,8953.33,274072.058371,2290974623.7324395,2697695
96,2019-06-23,8953.0,11392.64,8950.0,10906.07,378253.003065,3761392791.593737,3524367
97,2019-06-30,10905.95,13970.0,10525.1,10854.1,684152.508772,8152194088.574193,6076896
98,2019-07-07,10854.1,12000.0,9727.0,11406.24,517740.071693,5704614704.935866,4488545
99,2019-07-14,11410.0,13147.08,10103.0,10174.18,510462.035678,6013145209.00872,4524490
100,2019-07-21,10174.18,11100.0,9060.0,10589.45,487080.97263,4956031258.620161,4446262
101,2019-07-28,10590.15,10683.16,9165.0,9541.54,269819.325109,2669509015.232091,2603330
102,2019-08-04,9541.54,11040.0,9395.0,10929.23,259518.806019,2646182927.6158624,2454639
103,2019-08-11,10929.99,12330.7,10927.8,11549.97,371072.857661,4345174154.729532,3431310
104,2019-08-18,11539.08,11577.89,9750.0,10306.78,248273.374665,2598294179.2324157,2604915
105,2019-08-25,10306.17,10949.96,9762.0,10142.69,232472.053331,2394985938.283767,2432098
106,2019-09-01,10142.69,10604.0,9320.0,9724.98,211243.550288,2087949081.1662169,2073166
107,2019-09-08,9723.59,10905.87,9712.5,10381.18,281075.664908,2937882776.0814943,2428631
108,2019-09-15,10381.24,10480.0,9880.0,10302.01,207165.654458,2120624279.6818721,1997832
109,2019-09-22,10303.34,10355.0,9653.0,10028.87,188644.199623,1906343743.6461415,2057228
110,2019-09-29,10028.05,10049.99,7750.0,8043.82,364560.064744,3105752375.229093,3159529
111,2019-10-06,8043.04,8500.0,7710.0,7854.25,239129.62607,1946744856.5708692,2208522
112,2019-10-13,7855.3,8779.51,7762.0,8275.01,281416.738734,2342638084.5951705,2895529
113,2019-10-20,8275.24,8403.0,7816.01,8223.35,219241.792311,1772929260.8662167,2668262
114,2019-10-27,8223.35,10370.0,7300.0,9529.93,508882.693756,4412131949.683102,4526652
115,2019-11-03,9528.23,9902.1,8913.0,9194.71,354362.744327,3288114749.75205,3384382
116,2019-11-10,9196.46,9513.68,8696.0,9039.47,294282.771612,2687414282.870266,3021622
117,2019-11-17,9040.16,9072.32,8350.68,8502.4,239532.02348,2074354316.3498197,2356345
118,2019-11-24,8502.87,8503.52,6790.0,6903.28,422402.004703,3194974913.596575,3120213
119,2019-12-01,6900.23,7850.0,6515.0,7390.89,503259.064291,3668731159.5846167,3264670
120,2019-12-08,7391.5,7750.0,7067.0,7510.11,331478.231272,2440852073.6477933,2427749
121,2019-12-15,7510.11,7650.0,7008.35,7118.59,252294.980408,1829594877.0505176,2190573
122,2019-12-22,7119.6,7518.54,6435.0,7501.44,339611.461697,2377549933.3807735,2860673
123,2019-12-29,7500.71,7695.38,7076.42,7388.24,267312.086935,1960970043.8226128,2396048
124,2020-01-05,7388.43,7495.0,6871.04,7358.75,241051.798444,1751045575.9710777,2156119
125,2020-01-12,7357.64,8455.0,7346.76,8184.98,498017.846898,3978362245.8603864,3870321
126,2020-01-19,8184.97,9198.98,8055.89,8701.7,468235.62749600003,4075229206.683569,4261834
127,2020-01-26,8701.72,8818.0,8238.0,8615.0,250977.001765,2139257584.5757427,2555857
128,2020-02-02,8614.39,9578.0,8535.0,9331.51,362870.208388,3344610390.0331926,3363066
129,2020-02-09,9331.59,10166.0,9093.01,10151.75,364995.864834,3508270140.595099,3998661
130,2020-02-16,10151.72,10500.0,9638.12,9917.27,427067.585189,4316211115.182318,5261096
131,2020-02-23,9910.7,10250.0,9350.0,9936.4,360700.467719,3518226163.3166637,3990113
132,2020-03-01,9936.4,9990.0,8411.0,8531.88,426585.458707,3834682199.6015034,4278048
133,2020-03-08,8530.3,9188.0,8000.0,8033.31,379197.13168,3340552932.0353546,3871023
134,2020-03-15,8034.76,8179.31,3782.13,5361.3,1224228.28324,7415770282.10866,8590644
135,2020-03-22,5360.33,6900.0,4442.12,5816.19,1180843.345815,6710917850.66102,8567146
136,2020-03-29,5816.05,6957.96,5688.0,5881.42,770380.80536,4963224056.186818,5558649
137,2020-04-05,5880.5,7198.0,5857.76,6772.78,664784.299583,4388764837.975918,5187309
138,2020-04-12,6772.78,7459.69,6739.98,6903.79,582804.771087,4149639337.0034943,5399736
139,2020-04-19,6903.79,7293.08,6468.27,7120.74,501345.258903,3470075398.328409,4481179
140,2020-04-26,7121.4,7738.0,6751.0,7693.1,469098.31294699997,3396617806.4314218,4408245
141,2020-05-03,7693.1,9460.0,7606.0,8894.16,742165.162104,6374997759.196763,6613200
142,2020-05-10,8894.15,10067.0,8117.0,8722.77,780478.849466,7191007480.438996,7296812
143,2020-05-17,8722.77,9939.0,8200.0,9680.04,721487.837087,6639127977.318728,6691363
144,2020-05-24,9681.11,9950.0,8700.0,8720.34,517248.177536,4856615582.538332,5231275
145,2020-05-31,8718.14,9740.0,8642.72,9448.27,425528.246167,3923220452.2965627,4709904
146,2020-06-07,9448.27,10380.0,9266.0,9746.99,427822.495347,4156656856.7106485,4699565
147,2020-06-14,9746.99,9992.72,9113.0,9342.1,336172.771517,3222940574.5708337,3925947
148,2020-06-21,9342.1,9589.0,8910.45,9294.69,323565.711842,3025511745.348797,3601511
149,2020-06-28,9294.69,9780.0,8833.0,9116.35,343601.083154,3199982407.720629,3556356
150,2020-07-05,9116.16,9292.0,8893.03,9069.41,247256.195125,2255910006.086825,2670420
151,2020-07-12,9069.41,9470.0,9055.92,9302.75,284964.999673,2642350802.5796742,3618928
152,2020-07-19,9303.31,9343.82,9047.25,9208.99,247602.692095,2275998962.7417054,3834095
153,2020-07-26,9208.99,10111.0,9131.0,9931.54,346433.535115,3295996462.1417675,5037013
154,2020-08-02,9931.54,12123.46,9917.21,11071.35,637793.811724,7048671346.493502,8989722
155,2020-08-09,11071.36,11909.94,10936.0,11681.68,403167.45146,4646926089.61999,6240181
156,2020-08-16,11681.69,12067.35,11125.0,11911.0,468167.72232,5471151052.231874,7853234
157,2020-08-23,11910.99,12468.0,11376.81,11648.13,426710.483502,5061638056.366496,7082053
158,2020-08-30,11648.12,11824.9,11117.64,11711.16,355153.169372,4078471242.6749406,5563536
159,2020-09-06,11711.17,12050.85,9825.0,10256.2,581777.756525,6357675711.972731,9093522
160,2020-09-13,10255.89,10580.11,9850.0,10332.83,366759.994048,3756191422.9266324,5490957
161,2020-09-20,10332.84,11179.79,10212.34,10920.28,374339.558814,4052903078.381216,5419926
162,2020-09-27,10920.28,10988.86,10136.82,10774.25,331299.291081,3499594157.462563,5082884
163,2020-10-04,10774.26,10950.0,10374.0,10666.63,288073.126989,3079535042.6297483,4200553
164,2020-10-11,10666.62,11491.0,10525.0,11369.02,288404.145494,3147355378.403716,4224553
165,2020-10-18,11369.02,11720.01,11172.0,11503.14,279657.097047,3188831299.717626,4017625
166,2020-10-25,11503.14,13350.0,11407.96,13028.83,418993.354681,5252707161.494401,5893134
167,2020-11-01,13029.64,14100.0,12765.0,13761.5,485344.056262,6513957707.235787,6753475
168,2020-11-08,13761.49,15960.0,13195.05,15475.1,665037.146452,9752972636.00488,9082195
169,2020-11-15,15475.1,16480.0,14805.54,15957.0,529729.426496,8341020276.118945,8312761
170,2020-11-22,15957.0,18965.9,15864.0,18414.43,684197.642829,12173051529.63962,10878742
171,2020-11-29,18413.88,19484.21,16188.0,18184.99,676351.579974,12148026464.927427,12288105
172,2020-12-06,18185.0,19888.0,18001.12,19359.4,537012.142931,10256527452.726007,9615978
173,2020-12-13,19358.67,19420.91,17572.33,19174.99,414166.997237,7670610991.462734,7125404
174,2020-12-20,19174.99,24295.0,19000.0,23455.52,650661.7243,14274952056.644888,11378635
175,2020-12-27,23455.54,28422.0,21815.0,26281.66,688051.451739,16872124867.141685,12366728
176,2021-01-03,26281.54,34778.11,25880.0,33000.05,625132.263203,18574944969.548363,12512788
177,2021-01-10,33000.05,41950.0,28130.0,38150.02,850700.266152,30894408653.64546,18127566
178,2021-01-17,38150.02,40100.0,30420.0,35828.61,895315.076106,31769417713.860428,18405157
179,2021-01-24,35824.99,37850.0,28850.0,32259.9,640226.935785,21440700273.040024,14699334
180,2021-01-31,32259.45,38531.9,29241.72,33092.98,747463.508509,24948673733.690006,16555006
181,2021-02-07,33092.97,40955.51,32296.16,38795.69,583442.331544,21599895189.58116,13815026
182,2021-02-14,38795.69,49707.43,37988.89,48577.79,664186.270909,30558163844.53544,18380270
183,2021-02-21,48580.47,58352.8,45570.79,57408.57,533487.799699,27769064381.543262,15851564
184,2021-02-28,57412.35,57508.47,43000.0,45135.66,737125.746365,36056079517.941505,17606321
185,2021-03-07,45134.11,52640.0,44950.53,50971.75,490819.562968,24017266082.750584,13825664
186,2021-03-14,50959.11,61844.0,49274.67,58968.31,514559.698685,28846698413.56187,16229755
187,2021-03-21,58976.08,60633.43,53271.34,57351.56,463194.21418,26483848363.71589,14553773
188,2021-03-28,57351.56,58430.73,50427.56,55777.63,446278.628413,24254500734.206223,13022316
189,2021-04-04,55777.65,60200.0,54800.01,58202.01,367477.893273,21438740639.10086,11891110
190,2021-04-11,58202.01,61500.0,55473.0,60002.43,375865.593614,21944712196.726185,13696365
191,2021-04-18,59998.8,64854.0,50931.3,56150.01,549048.298032,33238307417.43094,17446531
192,2021-04-25,56150.01,57526.81,46930.0,49066.77,568315.2350399999,29929354690.661884,14944614
193,2021-05-02,49066.76,58458.07,48753.44,56578.21,395983.456013,21707164512.768623,12719227
194,2021-05-09,56578.21,59500.0,52900.0,58240.84,504478.926303,28725771451.786324,16275966
195,2021-05-16,58240.83,59500.0,43825.39,46431.5,684880.148197,35228801446.48219,17778177
196,2021-05-23,46426.83,46686.0,30000.0,34655.25,1386781.052144,53866174537.68215,27170977
197,2021-05-30,34681.44,40841.0,33379.0,35641.27,786531.163941,29203522868.25162,16942102
198,2021-06-06,35641.26,39476.0,34153.84,35796.31,528299.504937,19486187883.418457,11520844
199,2021-06-13,35796.31,39380.0,31000.0,39020.57,700065.604915,24888579254.611988,13781452
200,2021-06-20,39020.56,41330.0,33336.0,35600.16,610333.962089,23170552929.9574,12585488
201,2021-06-27,35600.17,35750.0,28805.0,34700.34,907073.707598,29582225083.091034,15069286
202,2021-07-04,34702.49,36600.0,32699.0,35286.51,464791.763593,16063893736.163574,9503851
203,2021-07-11,35288.13,35293.78,32077.0,34258.99,359766.235404,12142509770.888031,7648112
204,2021-07-18,34259.0,34678.43,31020.0,31778.56,306160.987079,9889122842.33198,7067408
205,2021-07-25,31778.57,35398.0,29278.0,35381.02,383262.217154,12281627047.304798,8161443
206,2021-08-01,35381.02,42599.0,35205.78,39845.44,568598.509606,22398899801.82215,14294722
207,2021-08-08,39850.27,45310.0,37332.7,43794.37,463107.670711,18969963699.518566,12015266
208,2021-08-15,43794.36,48144.0,42779.0,46973.82,372867.979811,17083554277.88681,12802573
209,2021-08-22,46973.82,49757.04,43927.7,49239.22,357634.462155,16753728276.4288,12498107
210,2021-08-29,49239.22,50500.0,46250.0,48767.83,298905.697042,14485841663.356567,10234705
211,2021-09-05,48767.84,51900.0,46512.0,51756.88,327484.443638,16058724402.757397,9623298
212,2021-09-12,51756.88,52920.0,42843.05,46025.24,399602.39982,18994715843.65674,12174052
213,2021-09-19,46025.23,48843.2,43370.0,47241.75,289430.44387,13558597825.9357,8186048
214,2021-09-26,47241.75,47347.25,39600.0,43160.9,437174.23273,18788601896.919964,10306745
215,2021-10-03,43160.9,49228.08,40753.88,48200.01,290620.78115,12968253396.578833,8011247
216,2021-10-10,48200.01,56561.31,46891.0,54659.0,424292.258599,22567545317.793793,12811107
217,2021-10-17,54659.01,62933.0,53879.0,61528.33,362346.263174,21121567502.011086,11568529
218,2021-10-24,61528.32,67000.0,59510.63,60852.22,336367.00881,21141785986.45504,10979311
